assignment_ID,timePeriod,bookedCapacityInHours
6dd29689-623a-454d-934a-ac921a458f24,24-01-2021,0
6dd29689-623a-454d-934a-ac921a458f24,25-01-2021,0
6dd29689-623a-454d-934a-ac921a458f24,26-01-2021,0
6dd29689-623a-454d-934a-ac921a458f24,27-01-2021,0
6dd29689-623a-454d-934a-ac921a458f24,28-01-2021,0
6dd29689-623a-454d-934a-ac921a458f24,29-01-2021,0
6dd29689-623a-454d-934a-ac921a458f24,30-01-2021,0
6dd29689-623a-454d-934a-ac921a458f24,31-01-2021,0
6dd29689-623a-454d-934a-ac921a458f24,01-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,02-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,03-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,04-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,05-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,06-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,07-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,08-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,09-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,10-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,11-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,12-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,13-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,14-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,15-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,16-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,17-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,18-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,19-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,20-02-2021,8
6dd29689-623a-454d-934a-ac921a458f24,21-02-2021,0
6dd29689-623a-454d-934a-ac921a458f24,22-02-2021,0
6dd29689-623a-454d-934a-ac921a458f24,23-02-2021,0
6dd29689-623a-454d-934a-ac921a458f24,24-02-2021,0
6dd29689-623a-454d-934a-ac921a458f24,25-02-2021,0
234bb8e8-5f04-4503-973a-773ef0fccc00,01-01-2021,0
234bb8e8-5f04-4503-973a-773ef0fccc00,02-01-2021,0
234bb8e8-5f04-4503-973a-773ef0fccc00,03-01-2021,0
234bb8e8-5f04-4503-973a-773ef0fccc00,04-01-2021,0
234bb8e8-5f04-4503-973a-773ef0fccc00,05-01-2021,0
234bb8e8-5f04-4503-973a-773ef0fccc00,06-01-2021,0
234bb8e8-5f04-4503-973a-773ef0fccc00,07-01-2021,0
234bb8e8-5f04-4503-973a-773ef0fccc00,08-01-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,01-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,02-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,03-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,04-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,05-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,06-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,07-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,08-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,09-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,10-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,11-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,12-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,13-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,14-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,15-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,16-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,17-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,18-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,19-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,20-01-2021,4
188bb8e8-5f04-4503-973a-773ef0fccc00,21-01-2021,2
188bb8e8-5f04-4503-973a-773ef0fccc00,22-01-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,23-01-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,24-01-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,25-01-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,26-01-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,27-01-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,28-01-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,29-01-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,30-01-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,31-01-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,01-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,02-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,03-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,04-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,05-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,06-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,07-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,08-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,09-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,10-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,11-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,12-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,13-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,14-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,15-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,16-02-2021,5
188bb8e8-5f04-4503-973a-773ef0fccc00,17-02-2021,2
188bb8e8-5f04-4503-973a-773ef0fccc00,18-02-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,19-02-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,20-02-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,21-02-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,22-02-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,23-02-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,24-02-2021,0
188bb8e8-5f04-4503-973a-773ef0fccc00,25-02-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,01-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,02-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,03-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,04-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,05-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,06-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,07-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,08-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,09-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,10-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,11-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,12-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,13-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,14-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,15-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,16-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,17-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,18-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,19-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,20-01-2021,4
199bb8e8-5f04-4503-973a-773ef0fccc00,21-01-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,22-01-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,23-01-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,24-01-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,25-01-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,26-01-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,27-01-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,28-01-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,29-01-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,30-01-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,31-01-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,01-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,02-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,03-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,04-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,05-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,06-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,07-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,08-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,09-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,10-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,11-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,12-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,13-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,14-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,15-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,16-02-2021,5
199bb8e8-5f04-4503-973a-773ef0fccc00,17-02-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,18-02-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,19-02-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,20-02-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,21-02-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,22-02-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,23-02-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,24-02-2021,0
199bb8e8-5f04-4503-973a-773ef0fccc00,25-02-2021,0
582068b8-c4c9-46d5-b303-17dff74a113b,01-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,02-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,03-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,04-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,05-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,06-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,07-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,08-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,09-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,10-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,11-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,12-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,13-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,14-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,15-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,16-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,17-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,18-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,19-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,20-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,21-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,22-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,23-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,24-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,25-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,26-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,27-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,28-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,29-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,30-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,31-01-2021,3
582068b8-c4c9-46d5-b303-17dff74a113b,01-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,02-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,03-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,04-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,05-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,06-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,07-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,08-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,09-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,10-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,11-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,12-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,13-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,14-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,15-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,16-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,17-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,18-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,19-02-2021,5
582068b8-c4c9-46d5-b303-17dff74a113b,20-02-2021,0
582068b8-c4c9-46d5-b303-17dff74a113b,21-02-2021,0
582068b8-c4c9-46d5-b303-17dff74a113b,22-02-2021,0
582068b8-c4c9-46d5-b303-17dff74a113b,23-02-2021,0
582068b8-c4c9-46d5-b303-17dff74a113b,24-02-2021,0
582068b8-c4c9-46d5-b303-17dff74a113b,25-02-2021,0
