assignment_ID,timePeriod,startDate,endDate,action,bookedCapacityInHours
234bb8e8-5f04-4503-973a-773ef0fccc00,202110,04-03-2021,10-03-2021,0,0
234bb8e8-5f04-4503-973a-773ef0fccc00,202111,11-03-2021,17-03-2021,0,0
234bb8e8-5f04-4503-973a-773ef0fccc00,202112,18-03-2021,24-03-2021,0,0
199bb8e8-5f04-4503-973a-773ef0fccc00,202101,01-01-2021,06-01-2021,0,28
199bb8e8-5f04-4503-973a-773ef0fccc00,202102,07-01-2021,13-01-2021,0,28
199bb8e8-5f04-4503-973a-773ef0fccc00,202103,14-01-2021,20-01-2021,0,28
199bb8e8-5f04-4503-973a-773ef0fccc00,202104,21-01-2021,27-01-2021,0,0
199bb8e8-5f04-4503-973a-773ef0fccc00,202105,28-01-2021,03-02-2021,0,35
199bb8e8-5f04-4503-973a-773ef0fccc00,202106,04-02-2021,10-02-2021,0,35
199bb8e8-5f04-4503-973a-773ef0fccc00,202107,11-02-2021,17-02-2021,0,35
199bb8e8-5f04-4503-973a-773ef0fccc00,202108,18-02-2021,24-02-2021,0,95
199bb8e8-5f04-4503-973a-773ef0fccc00,202109,25-02-2021,03-03-2021,0,95
199bb8e8-5f04-4503-973a-773ef0fccc00,202110,04-03-2021,10-03-2021,0,0
199bb8e8-5f04-4503-973a-773ef0fccc00,202111,11-03-2021,17-03-2021,0,0
199bb8e8-5f04-4503-973a-773ef0fccc00,202112,18-03-2021,24-03-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202101,01-01-2021,06-01-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202102,07-01-2021,13-01-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202103,14-01-2021,20-01-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202104,21-01-2021,27-01-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202105,28-01-2021,03-02-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202106,04-02-2021,10-02-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202107,11-02-2021,17-02-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202108,18-02-2021,24-02-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202109,25-02-2021,03-03-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202110,04-03-2021,10-03-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202111,11-03-2021,17-03-2021,0,0
188bb8e8-5f04-4503-973a-773ef0fccc00,202112,18-03-2021,24-03-2021,0,0
582068b8-c4c9-46d5-b303-17dff74a113b,202101,01-01-2021,06-01-2021,0,21
582068b8-c4c9-46d5-b303-17dff74a113b,202102,07-01-2021,13-01-2021,0,21
582068b8-c4c9-46d5-b303-17dff74a113b,202103,14-01-2021,20-01-2021,0,21
582068b8-c4c9-46d5-b303-17dff74a113b,202104,21-01-2021,27-01-2021,0,21
582068b8-c4c9-46d5-b303-17dff74a113b,202105,28-01-2021,03-02-2021,0,27
582068b8-c4c9-46d5-b303-17dff74a113b,202106,04-02-2021,10-02-2021,0,35
582068b8-c4c9-46d5-b303-17dff74a113b,202107,11-02-2021,17-02-2021,0,35
582068b8-c4c9-46d5-b303-17dff74a113b,202108,18-02-2021,24-02-2021,0,35
582068b8-c4c9-46d5-b303-17dff74a113b,202109,25-02-2021,03-03-2021,0,0
582068b8-c4c9-46d5-b303-17dff74a113b,202110,04-03-2021,10-03-2021,0,0
582068b8-c4c9-46d5-b303-17dff74a113b,202111,11-03-2021,17-03-2021,0,0
582068b8-c4c9-46d5-b303-17dff74a113b,202112,18-03-2021,24-03-2021,0,0
